Key,Name,Status,Precondition,Objective,Folder,Priority,Component,Labels,Owner,Estimated Time,Coverage (Issues),Coverage (Pages),Test Script (Step-by-Step) - Step,Test Script (Step-by-Step) - Test Data,Test Script (Step-by-Step) - Expected Result,Test Script (Plain Text),Test Script (BDD)
,1-Validate table delta_gold.fusion_gl_balances and its metadata is matching with Miro/Interface Contract,Draft,,,,Normal,,,,,,,,,,,Given the table delta_gold.fusion_gl_balances exists When the metadata is compared with the Miro/Interface contract Then the schema should match exactly
,"2-Verify on running the job pl_gold_load manually, if the job fails Then data shouldn't move from silver to gold. Email notification should also be triggered for the same.",Draft,,,,Normal,,,,,,,,,,,Given the job pl_gold_load is triggered manually When the job fails Then no data should be moved from silver to goldAnd an email notification should be sent
,"3-Verify on running the job pl_gold_load manually, if the job is successful Then the data should be moved from silver to gold.",Draft,,,,Normal,,,,,,,,,,,Given the job pl_gold_load is triggered manually When the job completes successfully Then the data should be moved from silver to gold
,4-Verify all the dependency tables/files are available as a prerequisite for loading the table.,Draft,,,,Normal,,,,,,,,,,,Given the pipeline is ready to load data When it checks for all prerequisite tables/files Then all dependencies must be available
,5-Verify that records with null Fusion_Code are rejected/flagged.,Draft,,,,Normal,,,,,,,,,,,Given a record has a null Fusion_Code When it is processed by the pipeline Then it should be rejected or flagged
,6-Verify the data is loading for all the default columns.,Draft,,,,Normal,,,,,,,,,,,Given the pipeline runs successfully When default columns are populated Then all default columns should contain valid data
,7-Check for primary key column,Draft,,,,Normal,,,,,,,,,,,Given the gold table is created When primary key constraints are checked Then the primary key column should be defined
,8-Verify if non-null columns in silver table shouldn't have null in gold table (delta_gold.fdmee_mapping_balance_account),Draft,,,,Normal,,,,,,,,,,,Given non-null columns in the silver table When the data is moved to the gold layer Then those columns should not have null values in gold
,"9-Verify the row count matches between silver and gold layer based on fusion_code, fusion_cost_centre unique combinations",Draft,,,,Normal,,,,,,,,,,,Given silver and gold tables contain data When rows are grouped by fusion_code and fusion_cost_centre Then the row count should match between both layers
,"10-Ensure YEAR_PERIOD_NUMBER is a 6-digit string (e.g., 202412).",Draft,,,,Normal,,,,,,,,,,,Given a YEAR_PERIOD_NUMBER column When values are validated Then each value should be a 6-digit string
,11-Verify the email notification for successful/failure job run.,Draft,,,,Normal,,,,,,,,,,,Given the job is executed When the job completes successfully or fails Then an email notification should be sent accordingly
,12-Verify the logs,Draft,,,,Normal,,,,,,,,,,,Given the pipeline runs When the job finishes execution Then logs should be generated and stored
,13-Verify if the partition column is year_period_number,Draft,,,,Normal,,,,,,,,,,,Given the delta_gold.fusion_gl_balances table When partition information is checked Then the table should be partitioned by year_period_number
,"14-Verify the column hfm_entity is picked from delta_silver.dim_fdmee_mapping_slv(target_entity) only for 'UKCORE_TOT' entities except 'SB4001','SB4002','SB4003','SB4006' and named as 'UKCORE_CF' except for 'SB1109','SB1151'",Draft,,,,Normal,,,,,,,,,,,Given data with UKCORE_TOT entities When the target_entity is mapped Then hfm_entity should be 'UKCORE_CF' with correct exclusions
,"15-Verify the column hfm_entity contains only 3 values 'UKCORE_CF','SB1109','SB1151' and not null",Draft,,,,Normal,,,,,,,,,,,"Given the gold layer data When values in hfm_entity are validated Then only 'UKCORE_CF','SB1109','SB1151' should exist and none should be null"
,"16-Verify the column gl_period is picked from delta_silver.fact_fusion_glbalances_slv only for Tesco GB Primary ledger and transformed as concat('0', balance_period_num) if length is 1",Draft,,,,Normal,,,,,,,,,,,Given records for Tesco GB Primary ledger When balance_period_num is used Then gl_period should be transformed as a 2-digit string with leading 0 if needed
,17-Verify the column gl_period contains only numeric and only 2 digit and not null,Draft,,,,Normal,,,,,,,,,,,Given the column gl_period When values are validated Then all values should be 2-digit numeric and not null
,"18-Verify the column gl_scenario is picked from delta_silver.fact_fusion_glbalances_slv only for Tesco GB Primary ledger and transformed as concat('ACT', balance_period_year)",Draft,,,,Normal,,,,,,,,,,,Given records for Tesco GB Primary ledger When balance_period_year is used Then gl_scenario should be 'ACT' concatenated with the year
,19-Verify the column gl_scenario contains alphanumeric and length is only 7 and not null,Draft,,,,Normal,,,,,,,,,,,"Given the column gl_scenario When values are validated Then all should be alphanumeric, exactly 7 characters long, and not null"
